index,subject ,Q,A
85,劳动力,在劳动力调查时小赵因要照顾不满周岁的孩子没有去工作但为增加收入微商卖儿童品每天都在朋友圈推销商品但未卖出任何商品算有工作吗?,根据劳动力调查的相关规定，小赵在朋友圈推销儿童用品的微商行为，即便没有卖出商品、没有实际收入，在调查中也应填写“是”，即认定为从业。因为劳动力调查里的 “从业” 定义是为取得报酬或经营收入从事生产经营服务活动，只要行为目的是获取收入，无论是否实际获利都算从业；小赵的微商行为是以增加收入为目的的个人经营活动，既不属于无酬家庭帮工、义务或公益性劳动，也不是单纯的家务劳动，完全符合从业的判定标准。
86,劳动力,在劳动力调查中靠出租房屋收取租金生活的人F10“是否为取得报酬工作过1小时以上？”如何填写,在劳动力调查中，靠出租房屋收取租金者填写问卷 F10（调查参考周内是否为取得报酬工作过1小时以上）的核心判断标准是是否提供了与房屋出租相关的服务性劳动：如果仅单纯收取租金，未从事房屋管理、维修、整理等相关劳动，F10 应填 “否”；如果在调查参考周内，为出租房屋提供了管理、维修、为租客服务等劳动且时长达到1小时以上，F10 应填“是”。若被调查人同时从事其他工作，需单独结合该工作的情况判定，与出租房屋的判定互不影响。
87,劳动力,在劳动力调查中靠出租房屋收取租金生活的人是有工作的吗?,在劳动力调查中，靠出租房屋收取租金生活的人是否算作有工作，核心看是否提供了相关服务性劳动：单纯依靠租金生活的不算有工作，因为租金属于财产收入而非劳动报酬；但如果在出租过程中提供了整理房屋、管理场地等服务性劳动，就应视为有工作。必须能够满足他人的需要，不包括自产自用的属于工作。调查判定的关键是看被调查人在调查周内是否从事了为取得报酬或经营收入的劳动，仅收租金填 “否”，提供相关服务则填 “是”；若同时从事其他兼职、零工，也需计入 “有工作” 范畴。
88,劳动力,在劳动力调查中，小红在家带小孩，有空的时候在朋友圈卖饰品，但调查期内没有卖出算有工作吗,根据劳动力调查的相关规定，小红在朋友圈卖饰品的行为应被视为 “有工作”，调查中需填写 “是”。因为劳动力调查里的 “工作”，指的是为获取工资、实物报酬或经营收入而开展的生产经营服务活动，只要行为目的是取得报酬，无论是否实际卖出商品、获得收入，都符合工作的定义；小红的微商推销属于以赚取收入为目的的经营活动，且不属于无酬家庭帮工的范畴，因此即便调查期内没有卖出饰品，也应判定为有工作。
89,劳动力,在劳动力调查中在调查参考周内大学生利课外时间兼职当家教算有工作吗,在劳动力调查中，大学生利用课外时间兼职当家教应被认定为有工作。因为调查定义的工作是为获取工资、报酬或经营收入而从事的生产经营服务活动，且只要在调查参考周内工作时长达到 1 小时及以上就符合标准；兼职家教是以赚取劳务报酬为目的的活动，不属于义务或公益性劳动，通常能满足时长要求，因此应被统计为有工作状态。
90,劳动力,在综合专科医院从事护士的人员，劳动力中行业和职业编码分别是什么,在劳动力调查中，综合专科医院护士的行业和职业编码遵循对应国家标准，具体为：行业编码按《国民经济行业分类》（GB/T 4754-2017）划定，属于卫生和社会工作大类（Q）、卫生中类（84）、医院小类（841）下的综合医院，编码为 8411；职业编码依据《职业分类与代码》（GB/T 6565-2015），归为医疗卫生专业技术人员中类（2-05）、护士小类，具体编码为 2-05-08，这些编码适用于统计、人力资源管理等标准化场景，若需最新或地方性调整，可参考当地统计部门文件。
91,劳动力,劳动力调查中王阿姨是手工活的，上周没有接到活，劳动力调查中王阿姨属于有工作没上班吗,在劳动力调查中，手工活灵活就业的王阿姨上周没接到活，应认定为无工作状态，F11（是否有工作但没上班）需填 “否”。因为 “有工作但没上班” 的判定前提是有明确工作单位或岗位，仅因特殊原因暂时未上班；而灵活就业人员的工作具有不稳定性，没有固定岗位和任务安排，调查参考周内没接到零活就属于无工作，而非 “有工作未上班”，即便停工未超 1 个月，也不符合 “有工作但没上班” 的归类标准。
92,劳动力,我是一名劳动力调查员，在调查期入调查时了解到有一户，一直在外地定居的女儿和孙子正好休假回娘家探亲小住一周，请问女儿和孙子是否需要登记调查?,女儿和孙子不需要登记调查。劳动力调查以户为单位进行登记，调查的是调查时点居住在本户的人，以及本户户籍人口中外出不满半年的人。女儿和孙子只是休假回娘家探亲小住一周，并非长期居住在此户，不属于调查时点居住在本户的人员，也不属于本户户籍人口中外出不满半年需登记的情况，所以无需登记调查。
93,农业农村,20平方米大概等于多少亩,20 平方米约等于 0.03 亩，具体换算可依据平方米和亩的换算关系：1 亩 = 666.667 平方米、1 平方米≈0.0015 亩，计算时用 20 乘以 0.0015 即可得出结果；若需更精确换算，可使用公式X平方米÷666.667=Y亩或X×3÷2000=Y 亩（X 代表平方米数，Y 代表亩数）。
94,农业农村,在粮食调查中，蚕豌豆应该登记为什么品种?,"蚕豌豆应该登记为豆类。
粮食作物主要分谷物（包含早稻、中稻和一季晚稻、双季晚稻、小麦、玉米、其他杂粮（谷子、高粱、大麦、燕麦、荞麦、其他谷物））、豆类（包含大豆、其他豆类（绿豆、红小豆、蚕豌豆等其他杂豆））和薯类（甘薯、马铃薯）三
大类。"
95,农业农村,在粮食调查中，单季晚稻和双季晚稻的划分标准是什么?,"根据其播种期、生长期和成熟期的不同，按早稻、中稻和一季晚稻、双季晚稻三类分别做统计。其中，早稻指栽培时间较早且成熟早的南方籼稻，收获时间在三季度中旬之前，主产区包括湖南、江西、广东、广西等地；中稻及一季晚稻，指一年只种一季的一熟单季稻，包括籼稻、粳稻、糯稻等。主要分布在中国秦岭—淮河以北，长江流域北部，四川盆地和云贵高原，主产区包括黑龙江、江苏、安徽、湖北、四川等地；双季晚稻指，在同一块稻田里，早稻收割后，通过连作、间作和混作等方式种植和收获的其他季稻谷，分布与早稻相近。
单季晚稻和双季晚稻按照种植时间节点来区分。4 月种植的是早稻，5-6 月种植的是中稻和一季晚稻（统称单季晚稻），7-8 月种植的是双季晚稻。"
96,农业农村,农业调查中，番薯应该登记为什么品种?,番薯在农业统计和分类中应统一登记为“甘薯”，不能填写为 “其他薯类”。因为番薯的别名虽包含红薯、地瓜、白薯等，但在统计标准里有明确的统一名称。
97,农业农村,在粮食调查中，关于晚稻实割实测标准取样流程是怎么样的,"1.踏田估产。由村干部、有经验的老农或种植能手、调查员3-5 人组成踏田估产小组。在稻谷成熟前一星期到十天左右踏田估产小组进行踏田，对样方中的地块逐块进行估产，样方地块无估产作物的按编号顺延。
2.准备工作。对抽中样方地块，事先与承包的农户联系，确保农户在大田收割前2-3 天通知调查员，及时收割样本谷。准备工具：镰刀、测框、脱粒机、稻谷袋（蛇皮袋）、样本谷袋、扫把、筛子、测水分仪、电子称等工具。注意，1、在实割实测前，农户不能进行收割。2、要给稻谷袋（蛇皮袋）、样本谷袋写上样本田块编号，避免混淆。选好点位：调查员叫上一个帮手，带上镰刀、测框、稻谷袋（蛇皮袋）到样本田块，观察田块的稻谷整体长势，按直线法、梅花法、垄测法均匀放置3 个小样本,样本要能代表该田块长势。
3.使用测框割稻。先割出能容纳1 人站立的地方，然后把测框垂直插入土中，尽量插到底，保持测框平行地面的长杆离地10-15 公分，一边旋转，一边收割，碰到半棵就割半棵，碰到一根就割一根，碰到的稻谷都要齐根割掉，割好后稻谷朝下放入稻谷袋（蛇皮袋），割完之后转一圈检查一遍。
4.脱粒、去杂质。脱粒：垫布在干净的地面上，脱粒机靠墙放置，防止脱粒时谷粒飞溅。脱粒完成后既要收集散落地面的谷粒，还要清理脱粒机内的谷粒，脱粒完成后拍打脱粒机，保证不漏一颗谷粒。去杂质：用扫把扫谷粒，不要遗漏谷粒，用筛子过筛去除杂质。过筛时，筛子放低，以防谷粒掉的太散。把过筛后的稻谷装入样本袋。
5.晾晒、称重、测水分。天气好的时候在干净的地面进行晾晒，或用空调吹，1个晚上就能好。晾晒好后进行称重，注意要扣除样本谷袋的重量。水分含量过高要加晒。
6.填报数据。在割完稻谷，用PDA 拍完测产框的照片之后，需打开相册，对所有照片再进行一遍检查，确保每张照片数量完整，照片清晰准确，以免之后审核发现，农户已将稻田收割完无法补拍。使用PDA 填报，样本田块的晚稻重量、水分等数据。样本谷至少完整保存3 个月。晚稻实割实测工具要妥善保存，以便下次使用。"
98,农业农村,农业调查中，假设一亩葡萄田地上种满了土豆应该如何填报?,"若葡萄田地已完全改种土豆。该地块应按实际种植的土豆（粮食作物）填报，不再统计为葡萄（园地作物）。需在调查表中将面积归入用于农作物种植的土地面积 。
在登记各类农作物在本年度内生产的数量，薯类按鲜薯重量统计上报，统一按5:1折算粮食产量；"
99,农业农村,介绍一下国家统计局的农业增加值核算,"指农业生产货物或提供服务活动而增加的价值，为农业现价总产值扣除农业现价中间投入后的余额。增加值也叫附加价值或追加价值，是指各单位生产经营的最终成果，即本单位或本行业对社会所作的贡献。从宏观上来税，增加值是计算国内生产总值的基础，即各部门增加值之和就是国内生产总值；从微观上来说，增加值能客观反映企业单位或行业的投入、产出、效益、速度和收入等情况。因此，计算增加值不仅是国民经济宏观管理的需要，也是微观的企业和行业管理的需要。
由于农业产值和中间消耗资料难以取得，目前农业增加值主要采取分配法或增加值率的方法进行计算。计算公式为“农业增加值=农业总产出-农业中间消耗”（总产出是农业生产的全部货物和服务价值总和，中间投入是生产中消耗的种子、化肥等物质产品和运输、修理等服务性投入）；核算农业增加值，既能直观反映农业经济发展规模、分析发展速度和趋势，也能为政府制定农业政策提供依据，还可通过分析增加值中各产业的比重变化，评估农业产业结构调整的效果。"
100,农业农村,粮食调查中，开展实割实测什么时候开始踏田估产?,"由村干部、有经验的老农或种植能手、调查员3-5 人组成踏田估产小组。在稻谷成熟前一星期到十天左右踏田估产小组进行踏田，对样方中的地块逐块进行估产，样方地块无估产作物的按编号顺延。
对第一块田特别仔细观测，注意粮食品种、播种方法、种植密度、病虫害、自然条件等各方面因素，以及与往年比较，统一估产意见，以这块田作为标准板田，以后其他田块估产均以其比较。"
101,农业农村,粮食安全监测小品种粮食全面调查怎么调查,"为精准掌握小品种粮食作物生产情况，服务粮食安全决策摸清生产实情。1. 深入田间地头开展小品种粮食作物生产情况专项调研，重点摸排作物分布、种植模式及管理难点。组建调研小组，分片包干走访种植户，通过实地踏勘、面对面交流等方式，全面掌握小品种作物生长周期、产量特征等基础信息。建立动态监测机制，结合农时节点定期回访重点区域，跟踪记录作物长势变化。针对调研中发现的共性难题，联合农业技术专家开展现场研判，提出分类指导建议，为科学制定调查方案提供实践支撑。
2.探索构建全流程数据质量控制机制，制定标准化调查操作规范，明确地块抽样、面积测算、产量评估等关键环节工作要求，强化风险预警与动态监管。积极测验上级部门下发的电子台账，通过逻辑校验、关联比对等方式筛查异常数据，及时反馈核实。探索实施影像记录制度，要求调查过程关键节点留存影像资料，增强数据溯源能力，切实保障源头数据真实可靠。
3.加强跨部门协作，联合农业、自然资源等部门尝试建立信息共享机制，积极获取种植大户台账、地理信息等资料，交叉验证调查数据。及时了解小品种作物种植户生产难题，梳理共性问题并提出对策建议。建立区、镇、村三级联动分析机制，研判小品种粮食生产趋势，为优化农业产业结构、落实惠农政策提供数据支撑。"
102,农业农村,粮食产量调查监测主要作用是什么?,"“粮食安全”是国家重要战略。农产量调查监测为国民经济核算提供可靠的调查数据，为党和国家科学制定农业政策提供决策依据。农产量调查监测是国家统计局为统计粮食播种面积、产量两项重要数据出台的统计方法制度。粮食统计数据直接反映粮食生产成果，为国家粮食安全政策的制定提供基础数据支撑。
粮食产量是国内外普遍关注的、关乎国计民生的、具有十分重要意义的基础性指标。1983年联合国粮农组织总干事萨乌马将粮食安全的概念表述为“确保所有的人在任何时候都能买得到又买得起他们所需要的基本食品”。目前国际社会广泛认同的粮食安全有三项具体目标：其一，确保生产足够的食品；其二，最大限度地稳定食品供应；其三，确保所有需要食品的人都能买得起。可以看出，粮食的生产和供应是粮食安全最基本的方面。粮食产量牵动着国家安全、人民福祉，粮食产量的每一笔数据都是国家粮食生产情况的实际反映，其重要性不言而喻。"
103,农业农村,粮食监测每个样方应拍摄多少张照片,粮食监测中每个样方的拍照要求明确：每个样方至少拍摄3 张照片，一般6 至7 张为宜，不超过10 张。照片要突显目标作物，能看出是拍哪一种作物。优先拍粮食作物、大面积作物、特殊作物或特殊地块（如暂未播种的耕作用地的地块）拍摄需在调查时点完成，目的是完整记录样方内作物的种类和分布情况，确保照片数量和质量满足审核要求。
104,农业农村,浙江粮食监测全年共有几次调查,"全年粮食监测调查的次数依据粮食播种和收获季节安排，按时间分，共有12 次调查；按类型分，面积调查4 次；意向调查2 次；预产调查3次；实产调查3 次；实割实测调查2 次。国家县比其他区县多2 次意向调查和3 次预产调查。1、12 月秋冬播第一次面积调查；2、 2 月全年意向调查（国家县）；3、 3 月秋冬播第二次面积调查；4、 5 月春播（早稻）面积调查；5、 5 月夏粮预产调查（国家县）；6、 6 月夏粮实产调查；7、 7 月早稻预产调查（国家县）；
8 、7-8 月早稻实产（早稻实割实测）调查；9 、8 月夏播面积调查；10、 9 月秋冬播意向调查（国家县）；11、 9 月秋收粮食预产调查（国家县）；12、 10-11 月秋粮实产（晚稻实割实测）调查。
按照国家统计局《农林牧渔业统计调查制度》统一推算全省及产粮大县数据，统一组织管理设区市调查数据的审核、评估、核实、反馈、发布。"
105,农业农村,浙江粮食监测晚稻实割实测踏田估产时间节点,粮食监测晚稻实割实测的踏田估产，全国统一要求在稻谷成熟前一星期到十天左右踏田估产小组进行踏田，具体时间可根据作物长势和区域气候调整；按时间分，时间节点为10-11 月进行秋粮实产（晚稻实割实测）调查。
106,农业农村,农业调查中，菱角属于蔬菜吗,菱角因其富含淀粉、生长环境为水生且食用方式与配菜或主食相近，常被归入水生蔬菜中的淀粉类蔬菜，与莲藕、茭白等并列。在农业调查统计分类来看，菱角需填写分类为“蔬菜”。
107,农业农村,农业统计遥感空分分布测量工作怎么开展,粮食种植面积采用全面统计与抽样调查相结合、卫星遥感监测与实地测量相结合的方法。遥感业务内容包含空分测量，二类测量和长势测量。空分测量各季主要农作物种植面积。一年三季四种作物（小麦、早稻、一季晚稻、双季晚稻）。1、核查范围，在每季主要农作物空间分布测量初步成果完成后，以市为单位分批反馈初步成果数据，以上一年空分面积与核定面积作为基底，以县为单位进行数据检查。2、核查方法，数据检查方法包括佐证数据收集、数据比对检查、实地抽样检查、目视判读检查等。具体方法：提供无人机影像材料、其他部门的种植信息矢量数据、历史同期数据等成果进行对比。（1）农业、自然资源部门将成果转交给统计部门，由统计部门或公司检查。（2）统计人员+农经人员+技术人员带成果共同检查。（3）无成果但有基础资料，对重点区域自查。（4）无成果和基础资料，逐个地块进行目视判读。3、遥感数据检查、目视判读核查与软件核查等工作。
108,农业农村,浙江粮食调查中，秋粮入户调查有哪些粮食作物,"秋粮是指秋季收获的粮食作物，它是我国全年粮食产量的重要组成部分，占比约 20-30%，对保障粮食安全至关重要。
秋粮入户调查的作物有8 种，分别为单季晚稻、双季晚稻、玉米、大豆、马铃薯、番薯、其他豆类、其他谷物（小杂粮）。预产调查每种作物选择3-5 户开展入户访问调查。实产调查每种作物选择5 户开展入户访问调查。夏粮或秋粮入户调查时，若全村范围内作物不足8 种的，有几种填几种。每种作物全村不足户数的，则有几户填几户。"
109,农业农村,浙江粮食调查中，全年种植面积调查一共有几次?,面积调查4 次，包含12 月秋冬播第一次面积调查、3 月秋冬播第二次面积调查、5 月春播（早稻）面积调查和8 月夏播面积调查。
110,农业农村,农业普查中，农户入户实产调查PDA内填报作物产量计算标准是,入户实产调查中，PDA 内填报的作物产量具体计算与折算标准如下：（1）谷物按脱粒后的原粮计算；（2）豆类按去豆荚后的干豆计算；（3）薯类按鲜薯重量统计上报，统一按5:1折算粮食产量；（4）棉花按去籽后的皮棉计算；（5）麻类除亚麻以麻杆计算，苎麻以刮皮后的干麻计算，苘麻和线麻以熟麻皮计算外，其余一律以生麻皮计算。一般情况是一公斤熟麻皮可折为二公斤生麻皮，如果原来就习惯按熟麻皮计算的，亦要按比例折成生麻皮后上报；（6）烟叶以干烟叶计算；（7）油料包括花生、油菜籽、芝麻、胡麻籽、葵花籽和其他油料（如苏子等），不包括大豆，也不包括木本油料和野生油料。花生以带壳的干花生计算；（8）糖料主要包括甘蔗、甜菜等。甘蔗以蔗茎计算。甜菜以块根计算；（9）瓜果包括西瓜、香瓜（甜瓜）、草莓和其他瓜果（如人参果）等非园林水果，按实收的鲜果计算产量。
111,农业农村,晚稻的单产一般多少,一季晚稻单产参考范围为300－650公斤／亩，主要分布在秦岭 — 淮河以北、长江流域北部、四川盆地和云贵高原等地；双季晚稻单产参考范围为 250－600 公斤／亩，多在早稻收割后种植，分布区域与早稻相近。晚稻单产需通过国家统计局规定的实割实测方法获取，测产时要按照籼稻水分13.5%、杂质1.0%，粳稻水分14.5%、杂质1.0% 的国家标准，考虑水分、杂质等因素计算；浙江地区的一季晚稻单产一般不超过650公斤／亩，双季晚稻单产为250－600公斤／亩，若各粮食品种的单产超出上述范围，请仔细核实，如确实为真实情况，要求填写相关原因。如一季晚稻单产超过650公斤，说明种植品种，正常亩产范围，去年亩产情况等。
112,农业农村,浙江粮食调查中、夏粮包含什么作物,"夏粮入户调查的作物8 种：冬小麦、大麦、春玉米、其他谷物、大豆、其他豆类（含蚕豌豆）、马铃薯、甘薯，其余不填。
预产调查每种作物选择3-5 户开展入户访问调查。实产调查每种作物选择5 户开展入户访问调查。夏粮或秋粮入户调查时，若全村范围内作物不足8 种的，有几种填几种。每种作物全村不足户数的，则有几户填几户。"
113,农业农村,粮食调查中，玉米是不是属于粮食,粮食调查中，玉米属于粮食范畴中的“谷物”，与稻谷、小麦等同为主要谷物种类，对粮食增产有着显著贡献。在粮食统计中，玉米仅统计作为粮食用途的部分，分为秋玉米和春玉米，不包含青贮饲料玉米和鲜食玉米，且只将其干、鲜形式及玉米粒纳入统计，玉米面等加工制品不计入粮食统计范围。
114,农业农村,农业调查中，在开展野外调查前应该先检查哪些东西和步骤?,开展野外调查前需做好全面准备工作，具体包括：选聘并培训合格的调查人员，确保其熟悉调查流程、设备操作及相关法规。国家统计局各调查总队负责具体组织实施实地调查，根据本地实地调查工作需要配备必要的工作设备和保障。现场调查需要采用必要的防护设备和措施，包括实地调查员专用野外工作服、防护药品、必要的人身保险和其他防护设备。现场调查用调查处理设备，包括高精度PAD（遥感野外调查移动终端）、无人机、移动工作站以及其他必要的硬件设备。调查数据后处理所需设备，包括各级用于遥感影像、调查结果的存储管理及移动采集终端管理使用的PC 服务器及存储设备、图形工作站、高性能桌面电脑或笔记本电脑。调查数据处理所需的软件，包括配套的操作系统、数据库软件、遥感地理信息专用软件、实地调查专用软件等。
115,农业农村,在实割实测时如何选取实测地块的三个样本点??,在抽中的实测地块样本中，如果调查作物连片种植的，直接在抽中自然地块内按直线法、三角边法、垄测法等随机、均匀放置3 个小样本（10 平方尺）；如果调查作物交叉、分块种植的，则先确定种植该作物的地块，然后均匀放置3 个小样本。小样本间的距离参考以下公式计算：d=sqrt（a）/n（其中，d 为距离，a 为样本地块面积，n 为小样本数量，这里n=3。
116,农业农村,我家有台久保田拖拉机，发动机参数：缸数：4缸，标定功率（12h）：62.5 kW，标定转速：2500 r/min。在四农普中应该登记到什么分类,"在用的农用机械  指被登记人或组织拥有，且在调查时点向前1年周期内，投入过农业生产作业且未被报废的农业机械；或被普查人或组织新购买，尚未投入农业生产的农业机械。按照《普查用农用机械目录》中的农用机械名称（代码）填写。您的拖拉机属于“大中型拖拉机”。
大中型拖拉机：指发动机额定功率在22.1kW（30马力）（不含）以上用于牵引、推动、携带或/和驱动配套机具进行作业的自走式动力机械，有轮式和履带式两种。分为36.8kW（50马力）以下大中型拖拉机和36.8kW（50马力）及以上大中型拖拉机。"
117,农业农村,农业调查中，土地流入面积是什么意思,"土地流入面积  指在调查时点，本村普通农户、规模户（家庭农场）、农民合作社、农业企业等经营主体有土地经营权，通过转包、转让、出租等方式流入到本户（或单位）的，处于耕地流转合同（或口头协议）有效期的土地面积。
它反映了土地经营权在不同主体间的转移情况，是衡量土地流转活跃程度的重要指标，比如农户通过租赁获得其他农户的耕地使用权，这部分耕地面积就会被计入土地流入面积，这种流转方式有助于优化土地资源配置、提高农业生产效率。"
118,农业农村,农业调查中，调查员在现场，如何区分未成熟的冬小麦与韭菜,区分未成熟冬小麦与韭菜，可从叶片形态、茎根特征、气味及生长环境综合判断：冬小麦叶片细长窄直、边缘有细微锯齿，叶基有透明叶耳和舌状突起，叶片互生丛生，茎为圆形中空禾本科秆，根系是无主根的须根系，折断后只有青草味，多大面积成片种植在农田里；韭菜叶片扁平宽软、边缘光滑、叶尖圆钝，无叶耳叶舌，叶片从地下鳞茎顶端两列对称生出，基部有白色假茎，根系是带短缩鳞茎的须根系，折断后会散发辛辣味，多在菜园小片种植。快速鉴别可按 “看叶片宽度→查叶基结构→闻气味→看种植方式” 的步骤，若仍不确定，可等小麦抽穗后再区分。
119,农业农村,农业调查中，什么是农作物播种面积？与耕地面积有什么区别？,农作物播种面积是指全年实际播种的粮食作物与经济作物的面积，无论种植在耕地还是非耕地上的播种或移植面积，播种一次就统计一次，凡是本年内收获的农作物，无论是本年还是上年播种，都算为当年播种面积，但不包括本年播种、下年收获的农作物面积。是反映一定时期内农作物实际种植情况的动态流量指标；它和耕地面积有着明显区别，耕地面积是指可种植农作物的土地面积，包括熟地、新开发、复垦、整理地，休闲地（含轮歇地、休耕地）等，是反映某一时间点土地资源状况的静态存量指标，其统计范围包含未播种的土地，而农作物播种面积仅统计实际播种的面积，且会根据一年中多次播种的情况累加计算。
120,农业农村,粮食调查中，计算粮食产量时用的水杂折算系数是多少？,计算粮食产量时的水杂折算系数，计算公式为水杂折算系数 = [(1 - 实际化验的含水杂质率)÷(1 - 国家水杂标准率)]×100；不同稻谷的水杂国家标准存在差异，比如早稻的水杂国家标准为 14.5%（含 13.5% 水分、1.0% 杂质），单晚和双晚的水杂国家标准为 15.5%（含 14.5% 水分、1.0% 杂质），小麦13.5%（水分12.5%、杂质1.0%）。
121,农业农村,浙江粮食调查中，夏粮和秋粮包括哪些,"夏粮入户调查的作物8 种：冬小麦、大麦、春玉米、其他谷物、大豆、其他豆类（含蚕豌豆）、马铃薯、甘薯，其余不填。早稻入户调查的作物只有早稻。秋粮入户调查的作物有8 种，分别为单季晚稻、双季晚稻、玉米、大豆、马铃
薯、番薯、其他豆类、其他谷物（小杂粮）。若村中有作物开展实割实测的，则该作物不重复填报。
预产调查每种作物选择3-5 户开展入户访问调查。实产调查每种作物选择5 户开展入户访问调查。夏粮或秋粮入户调查时，若全村范围内作物不足8 种的，有几种填几种。每种作物全村不足户数的，则有几户填几户。"
122,农业农村,在农业普查中，“农业生产经营单位”和“农户”这两个概念的核心区别是什么？请举例说明一个可能被归类为“农业生产经营单位”但容易被误认为是“农户”的经营主体,"农业普查中 “农业生产经营单位” 和 “农户” 的核心区别体现在定义性质、组织形式、规模专业化程度、法律地位及统计填报方式上：农业生产经营单位是依法成立、具有法人资格或组织形式的经济组织，指农户以外的国营农林牧渔场（包括农垦、司法、侨办系统办农场）、集体农场、联营农场、私营或个体农场等，有固定组织机构、规范管理方式和独立会计核算体系，经营规模大、专业化程度高，需填报涵盖经营状况、资产负债等的详细普查表；农户是以家庭为单位的个体经济主体，无独立法人资格，以家庭劳动力为主、雇用人员少，无完整会计核算，经营规模小且多为单一生产环节，仅需填报土地面积、生产情况等基础信息。
像依法登记注册、拥有一定土地规模、配备现代化设备和管理团队、有完整财务核算的家庭农场，虽以家庭为单位经营，但属于农业生产经营单位而非普通农户。"
123,农业农村,“粮食产量抽样调查”与“全面农业普查”在数据获取方式和覆盖范围上有何本质区别？各自的主要优势和局限性是什么？,粮食产量抽样调查与全面农业普查在数据获取方式、覆盖范围、优劣势上有显著区别，二者可相互补充：粮食产量抽样调查是非全面调查，通过分层两阶段抽样等概率抽样方法，结合对地抽样、遥感测量和实割实测技术抽取样本村、样方地块，针对稻谷、小麦等主要粮食品种的播种面积和单产开展调查，能以较低成本快速获取数据，灵活性高且误差可控，适合常规动态监测，但存在样本代表性受限、覆盖范围窄、依赖技术手段的局限；全面农业普查是每 10 年一次的全面调查，对全国所有农业生产经营者及相关地块逐一登记，覆盖农业生产条件、农村劳动力、农民生活等全方面内容，数据全面详实，可为常规统计提供基础抽样框，利于长期规划，但存在实施成本高、周期长、无法满足实时监测需求的不足。
124,农业农村,主要粮食农作物的生长时间大概是什么时候,主要粮食农作物的生长时间因作物种类、气候条件和种植区域而异，具体来看：水稻分多个类型，南方早稻 3-4 月播种、7-8 月收获，中稻 / 单季稻 5-6 月播种、9-10 月收获，晚稻 7 月播种、10-11 月收获，东北单季稻 4-5 月播种、9-10 月收获；小麦里冬小麦在华北、黄淮地区 9-10 月播种，长江流域 10-11 月播种，次年 5-6 月收获，春小麦在东北、西北等寒冷地区 3-4 月播种、7-8 月收获；玉米的春玉米 4-5 月播种、9-10 月收获，夏玉米 6 月麦收后播种、9-10 月收获，南方玉米可多季种植；大豆的春大豆 4-5 月播种、9-10 月收获，夏大豆 6 月麦茬后播种、9-10 月收获，南方大豆可早春或秋季种植；马铃薯北方 4-5 月播种、8-9 月收获，南方 12 月播种、次年 3-4 月收获，甘薯北方 5 月栽种、10 月收获，南方可 4 月或 7 月栽种。此外，热带 / 亚热带地区可多季种植，温带地区多一年一熟或两熟，作物品种和耕作制度也会影响生长周期，全球产区如美国玉米带 4-5 月播种、9-10 月收获，东南亚水稻雨季和旱季均可种植。
125,农业农村,粮食调查中，地里作物还没收获，亩产怎么估算,作物尚未收获时，可通过多种方法估算亩产：踏田估产法是组织村干部、老农等组成小组，在作物成熟前 1 周到 15 天，选取代表性标准地块，按长势细分地块，结合作物长势、密度、穗粒数及土壤、气候等因素估产并记录；实割实测法是在作物成熟未大面积收获时，按直线法、品字法等均匀放置样本点，用 10 平方尺小样本实地收割，扣除收割、运输、脱粒损失后推算亩产，适用于小麦、稻谷等主要粮食作物；理论测产法是依据作物株数、穗粒数、千粒重等农艺数据，通过对应公式计算亩产，适用于密植作物；样本调查法是选取代表性地块，用实割实测或理论测产获取数据后推算整体产量，效率较高；历史数据与经验法是结合历年产量数据和当年气候、种植技术等因素预估亩产。估产时需注意在作物接近成熟时开展，对不同长势地块细分，实割实测要计算损失量，同时及时记录核实数据，可根据实际条件选择合适方法。
126,农业农村,粮食调查中，面积调查一个样方需要拍摄几张照片,粮食监测中每个样方的拍照要求明确：每个样方至少拍摄3 张照片，一般6 至7 张为宜，不超过10 张。照片要突显目标作物，能看出是拍哪一种作物。优先拍粮食作物、大面积作物、特殊作物或特殊地块（如暂未播种的耕作用地的地块）拍摄需在调查时点完成，目的是完整记录样方内作物的种类和分布情况，确保照片数量和质量满足审核要求。
127,农业农村,出售的仔猪算出栏吗？,出售的仔猪不算出栏。根据畜牧业统计的相关规定，出栏特指将畜禽出售或宰杀用于终端消费的行为，而出售的仔猪通常是指用于繁殖或进一步饲养的幼畜，不属于出栏的范畴。
128,住户,住户调查中，按月发放的提成可以跟基础工资在一起记吗？,按月发放的提成在性质上属于劳动报酬中的奖金范畴，因此根据住户调查中关于工资的定义，指就业的住户成员通过劳动从单位或雇主按月获取的各种现金报酬，包含单位或雇主按月从工资中代扣的各种扣款（含个人所得税）。如：按月发放的计时计件劳动报酬、按月发放的奖金或工作津贴、住房补贴、交通补贴、车改补贴、通讯补贴、冬季取暖费、防暑降温费、加班费等；工作单位按月代扣的应由个人承担的养老保险、医疗保险、失业保险和住房公积金、个人所得税；单位在工资中按月代扣的房租、水费、电费、托儿费、医疗费、借款等。上述由单位代扣的各项费用应当同时计入相应的消费支出或转移性支出中。工资按照收付实现制计算，按月打到个人银行账户、银行卡的工资应及时记账，本调查期内应得但因拖欠等原因未得到的工资暂不计入，在实际得到工资时再记入日记账（计入“补发工资”）。农村非农务工人员（如泥瓦工、挑夫、保姆等）按月得到的各种现金报酬也计入在内。故此按月发放的提成应该与基础工资合并计算入工资项，“按月发放的工资(含奖金、津贴)”（参考编码：210111）。
